"Imbalance settlement period (CET/CEST)","+ Imbalance Price [EUR/MWh] - SCA|FR","+ Scarcity [EUR/MWh] - SCA|FR","+ Incentive [EUR/MWh] - SCA|FR","+ Financial Neutrality [EUR/MWh] - SCA|FR","- Imbalance Price [EUR/MWh] - SCA|FR","- Scarcity [EUR/MWh] - SCA|FR","- Incentive [EUR/MWh] - SCA|FR","- Financial Neutrality [EUR/MWh] - SCA|FR","Currency","Status","Total Imbalance [MWh] - SCA|FR","Difference","Situation","Status"
"01.01.2022 00:00 - 01.01.2022 00:30","48.00","","","","53.06","","","","EUR","Estimated","489","","Surplus","Final"
"01.01.2022 00:30 - 01.01.2022 01:00","44.28","","","","48.94","","","","EUR","Estimated","922","","Surplus","Final"
"01.01.2022 01:00 - 01.01.2022 01:30","42.16","","","","46.60","","","","EUR","Estimated","630","","Surplus","Final"
"01.01.2022 01:30 - 01.01.2022 02:00","41.76","","","","46.16","","","","EUR","Estimated","416","","Surplus","Final"
"01.01.2022 02:00 - 01.01.2022 02:30","37.21","","","","41.13","","","","EUR","Estimated","356","","Surplus","Final"
"01.01.2022 02:30 - 01.01.2022 03:00","34.63","","","","38.27","","","","EUR","Estimated","547","","Surplus","Final"
"01.01.2022 03:00 - 01.01.2022 03:30","28.47","","","","31.47","","","","EUR","Estimated","68","","Surplus","Final"
"01.01.2022 03:30 - 01.01.2022 04:00","27.78","","","","30.70","","","","EUR","Estimated","200","","Surplus","Final"
"01.01.2022 04:00 - 01.01.2022 04:30","67.98","","","","75.14","","","","EUR","Estimated","408","","Deficit","Final"
"01.01.2022 04:30 - 01.01.2022 05:00","65.06","","","","71.90","","","","EUR","Estimated","362","","Deficit","Final"
"01.01.2022 05:00 - 01.01.2022 05:30","51.28","","","","56.68","","","","EUR","Estimated","444","","Deficit","Final"
"01.01.2022 05:30 - 01.01.2022 06:00","51.04","","","","56.42","","","","EUR","Estimated","272","","Deficit","Final"
"01.01.2022 06:00 - 01.01.2022 06:30","38.56","","","","42.62","","","","EUR","Estimated","396","","Deficit","Final"
"01.01.2022 06:30 - 01.01.2022 07:00","39.81","","","","44.01","","","","EUR","Estimated","551","","Deficit","Final"
"01.01.2022 07:00 - 01.01.2022 07:30","46.04","","","","50.88","","","","EUR","Estimated","665","","Deficit","Final"
"01.01.2022 07:30 - 01.01.2022 08:00","49.96","","","","55.22","","","","EUR","Estimated","879","","Deficit","Final"
"01.01.2022 08:00 - 01.01.2022 08:30","55.26","","","","61.08","","","","EUR","Estimated","473","","Deficit","Final"
"01.01.2022 08:30 - 01.01.2022 09:00","54.38","","","","60.10","","","","EUR","Estimated","531","","Deficit","Final"
"01.01.2022 09:00 - 01.01.2022 09:30","72.73","","","","80.39","","","","EUR","Estimated","430","","Deficit","Final"
"01.01.2022 09:30 - 01.01.2022 10:00","66.55","","","","73.55","","","","EUR","Estimated","96","","Surplus","Final"
"01.01.2022 10:00 - 01.01.2022 10:30","115.29","","","","127.43","","","","EUR","Estimated","354","","Deficit","Final"
"01.01.2022 10:30 - 01.01.2022 11:00","72.95","","","","80.63","","","","EUR","Estimated","72","","Surplus","Final"
"01.01.2022 11:00 - 01.01.2022 11:30","143.36","","","","158.46","","","","EUR","Estimated","552","","Deficit","Final"
"01.01.2022 11:30 - 01.01.2022 12:00","142.28","","","","157.26","","","","EUR","Estimated","490","","Deficit","Final"
"01.01.2022 12:00 - 01.01.2022 12:30","90.00","","","","99.48","","","","EUR","Estimated","484","","Deficit","Final"
"01.01.2022 12:30 - 01.01.2022 13:00","90.00","","","","99.48","","","","EUR","Estimated","902","","Deficit","Final"
"01.01.2022 13:00 - 01.01.2022 13:30","91.96","","","","101.64","","","","EUR","Estimated","690","","Deficit","Final"
"01.01.2022 13:30 - 01.01.2022 14:00","91.96","","","","101.64","","","","EUR","Estimated","247","","Deficit","Final"
"01.01.2022 14:00 - 01.01.2022 14:30","97.57","","","","107.84","","","","EUR","Estimated","696","","Deficit","Final"
"01.01.2022 14:30 - 01.01.2022 15:00","96.62","","","","106.80","","","","EUR","Estimated","462","","Deficit","Final"
"01.01.2022 15:00 - 01.01.2022 15:30","87.78","","","","97.02","","","","EUR","Estimated","287","","Deficit","Final"
"01.01.2022 15:30 - 01.01.2022 16:00","99.93","","","","110.45","","","","EUR","Estimated","285","","Deficit","Final"
"01.01.2022 16:00 - 01.01.2022 16:30","73.06","","","","80.76","","","","EUR","Estimated","217","","Surplus","Final"
"01.01.2022 16:30 - 01.01.2022 17:00","108.78","","","","120.23","","","","EUR","Estimated","185","","Surplus","Final"
"01.01.2022 17:00 - 01.01.2022 17:30","76.84","","","","84.92","","","","EUR","Estimated","626","","Surplus","Final"
"01.01.2022 17:30 - 01.01.2022 18:00","69.61","","","","76.93","","","","EUR","Estimated","265","","Surplus","Final"
"01.01.2022 18:00 - 01.01.2022 18:30","70.35","","","","77.75","","","","EUR","Estimated","439","","Surplus","Final"
"01.01.2022 18:30 - 01.01.2022 19:00","99.79","","","","110.29","","","","EUR","Estimated","567","","Surplus","Final"
"01.01.2022 19:00 - 01.01.2022 19:30","73.04","","","","80.72","","","","EUR","Estimated","642","","Surplus","Final"
"01.01.2022 19:30 - 01.01.2022 20:00","102.85","","","","113.67","","","","EUR","Estimated","1029","","Surplus","Final"
"01.01.2022 20:00 - 01.01.2022 20:30","52.95","","","","58.53","","","","EUR","Estimated","275","","Surplus","Final"
"01.01.2022 20:30 - 01.01.2022 21:00","63.43","","","","70.11","","","","EUR","Estimated","573","","Surplus","Final"
"01.01.2022 21:00 - 01.01.2022 21:30","50.94","","","","56.30","","","","EUR","Estimated","75","","Surplus","Final"
"01.01.2022 21:30 - 01.01.2022 22:00","62.66","","","","69.26","","","","EUR","Estimated","450","","Surplus","Final"
"01.01.2022 22:00 - 01.01.2022 22:30","92.59","","","","102.33","","","","EUR","Estimated","236","","Deficit","Final"
"01.01.2022 22:30 - 01.01.2022 23:00","92.59","","","","102.33","","","","EUR","Estimated","833","","Deficit","Final"
"01.01.2022 23:00 - 01.01.2022 23:30","88.17","","","","97.45","","","","EUR","Estimated","98","","Deficit","Final"
"01.01.2022 23:30 - 02.01.2022 00:00","44.41","","","","49.09","","","","EUR","Estimated","267","","Surplus","Final"
"02.01.2022 00:00 - 02.01.2022 00:30","208.27","","","","230.19","","","","EUR","Estimated","200","","Deficit","Final"
"02.01.2022 00:30 - 02.01.2022 01:00","49.10","","","","54.26","","","","EUR","Estimated","694","","Surplus","Final"
"02.01.2022 01:00 - 02.01.2022 01:30","49.96","","","","55.22","","","","EUR","Estimated","102","","Deficit","Final"
"02.01.2022 01:30 - 02.01.2022 02:00","49.96","","","","55.22","","","","EUR","Estimated","201","","Deficit","Final"
"02.01.2022 02:00 - 02.01.2022 02:30","46.52","","","","51.42","","","","EUR","Estimated","438","","Deficit","Final"
"02.01.2022 02:30 - 02.01.2022 03:00","20.59","","","","22.75","","","","EUR","Estimated","360","","Surplus","Final"
"02.01.2022 03:00 - 02.01.2022 03:30","28.91","","","","31.95","","","","EUR","Estimated","55","","Surplus","Final"
"02.01.2022 03:30 - 02.01.2022 04:00","32.30","","","","35.70","","","","EUR","Estimated","136","","Surplus","Final"
"02.01.2022 04:00 - 02.01.2022 04:30","28.08","","","","31.04","","","","EUR","Estimated","29","","Surplus","Final"
"02.01.2022 04:30 - 02.01.2022 05:00","28.08","","","","31.04","","","","EUR","Estimated","260","","Surplus","Final"
"02.01.2022 05:00 - 02.01.2022 05:30","32.27","","","","35.67","","","","EUR","Estimated","161","","Surplus","Final"
"02.01.2022 05:30 - 02.01.2022 06:00","32.27","","","","35.67","","","","EUR","Estimated","319","","Surplus","Final"
"02.01.2022 06:00 - 02.01.2022 06:30","27.02","","","","29.86","","","","EUR","Estimated","420","","Surplus","Final"
"02.01.2022 06:30 - 02.01.2022 07:00","27.15","","","","30.01","","","","EUR","Estimated","554","","Surplus","Final"
"02.01.2022 07:00 - 02.01.2022 07:30","26.71","","","","29.53","","","","EUR","Estimated","769","","Surplus","Final"
"02.01.2022 07:30 - 02.01.2022 08:00","23.80","","","","26.30","","","","EUR","Estimated","453","","Surplus","Final"
"02.01.2022 08:00 - 02.01.2022 08:30","20.84","","","","23.04","","","","EUR","Estimated","345","","Surplus","Final"
"02.01.2022 08:30 - 02.01.2022 09:00","18.92","","","","20.92","","","","EUR","Estimated","179","","Surplus","Final"
"02.01.2022 09:00 - 02.01.2022 09:30","68.20","","","","75.38","","","","EUR","Estimated","79","","Deficit","Final"
"02.01.2022 09:30 - 02.01.2022 10:00","62.26","","","","68.82","","","","EUR","Estimated","150","","Deficit","Final"
"02.01.2022 10:00 - 02.01.2022 10:30","69.89","","","","77.25","","","","EUR","Estimated","42","","Deficit","Final"
"02.01.2022 10:30 - 02.01.2022 11:00","69.10","","","","76.38","","","","EUR","Estimated","369","","Deficit","Final"
"02.01.2022 11:00 - 02.01.2022 11:30","62.95","","","","69.57","","","","EUR","Estimated","472","","Deficit","Final"
"02.01.2022 11:30 - 02.01.2022 12:00","62.95","","","","69.57","","","","EUR","Estimated","437","","Deficit","Final"
"02.01.2022 12:00 - 02.01.2022 12:30","61.31","","","","67.77","","","","EUR","Estimated","363","","Deficit","Final"
"02.01.2022 12:30 - 02.01.2022 13:00","61.31","","","","67.77","","","","EUR","Estimated","575","","Deficit","Final"
"02.01.2022 13:00 - 02.01.2022 13:30","131.69","","","","145.55","","","","EUR","Estimated","1029","","Deficit","Final"
"02.01.2022 13:30 - 02.01.2022 14:00","48.70","","","","53.82","","","","EUR","Estimated","289","","Deficit","Final"
"02.01.2022 14:00 - 02.01.2022 14:30","45.44","","","","50.22","","","","EUR","Estimated","838","","Deficit","Final"
"02.01.2022 14:30 - 02.01.2022 15:00","47.43","","","","52.43","","","","EUR","Estimated","682","","Deficit","Final"
"02.01.2022 15:00 - 02.01.2022 15:30","44.77","","","","49.49","","","","EUR","Estimated","748","","Deficit","Final"
"02.01.2022 15:30 - 02.01.2022 16:00","48.36","","","","53.45","","","","EUR","Estimated","608","","Deficit","Final"
"02.01.2022 16:00 - 02.01.2022 16:30","50.62","","","","55.94","","","","EUR","Estimated","424","","Deficit","Final"
"02.01.2022 16:30 - 02.01.2022 17:00","51.48","","","","56.90","","","","EUR","Estimated","207","","Deficit","Final"
"02.01.2022 17:00 - 02.01.2022 17:30","66.53","","","","73.53","","","","EUR","Estimated","459","","Surplus","Final"
"02.01.2022 17:30 - 02.01.2022 18:00","48.27","","","","53.35","","","","EUR","Estimated","137","","Deficit","Final"
"02.01.2022 18:00 - 02.01.2022 18:30","61.84","","","","68.34","","","","EUR","Estimated","99","","Deficit","Final"
"02.01.2022 18:30 - 02.01.2022 19:00","61.84","","","","68.34","","","","EUR","Estimated","187","","Deficit","Final"
"02.01.2022 19:00 - 02.01.2022 19:30","64.46","","","","71.24","","","","EUR","Estimated","256","","Deficit","Final"
"02.01.2022 19:30 - 02.01.2022 20:00","62.06","","","","68.60","","","","EUR","Estimated","284","","Surplus","Final"
"02.01.2022 20:00 - 02.01.2022 20:30","69.29","","","","76.59","","","","EUR","Estimated","412","","Surplus","Final"
"02.01.2022 20:30 - 02.01.2022 21:00","54.18","","","","59.88","","","","EUR","Estimated","413","","Surplus","Final"
"02.01.2022 21:00 - 02.01.2022 21:30","43.85","","","","48.47","","","","EUR","Estimated","16","","Deficit","Final"
